"اسم الجدول","اسم العمود","نوع البيانات","يسمح بالقيمة الفارغة؟"
"action_logs","id","integer","NO"
"action_logs","store_id","text","YES"
"action_logs","action_type","text","YES"
"action_logs","details","text","YES"
"action_logs","action_time","timestamp without time zone","YES"
"action_logs","user_id","bigint","YES"
"action_logs","source","text","YES"
"api_partners","partner_id","integer","NO"
"api_partners","partner_name","text","NO"
"api_partners","api_endpoint","text","YES"
"api_partners","usage_limit","integer","YES"
"api_partners","status","text","YES"
"api_partners","api_key","text","YES"
"api_partners","api_secret","text","YES"
"api_partners","extra_headers","jsonb","YES"
"app_monitor","log_id","integer","NO"
"app_monitor","log_type","text","YES"
"app_monitor","action_details","text","YES"
"app_monitor","created_at","timestamp without time zone","YES"
"auto_rules","rule_id","integer","NO"
"auto_rules","rule_name","text","YES"
"auto_rules","is_active","boolean","YES"
"auto_rules","settings","jsonb","YES"
"auto_rules","last_run","timestamp without time zone","YES"
"available_channels","channel_id","integer","NO"
"available_channels","channel_name","text","NO"
"available_channels","telegram_id","text","NO"
"available_channels","is_active","boolean","YES"
"bot_dynamic_buttons","button_id","integer","NO"
"bot_dynamic_buttons","button_text","text","NO"
"bot_dynamic_buttons","button_callback","text","NO"
"bot_dynamic_buttons","is_active","boolean","YES"
"bot_dynamic_buttons","display_order","integer","YES"
"bot_users","telegram_id","bigint","NO"
"bot_users","username","text","YES"
"bot_users","joined_at","timestamp without time zone","YES"
"bot_users","last_seen","timestamp without time zone","YES"
"bot_users","fav_store_inferred","text","YES"
"bot_users","store_copy_count","integer","YES"
"bot_users","fav_tag_inferred","text","YES"
"bot_users","tag_visit_count","integer","YES"
"bot_users","user_status","text","YES"
"bot_users","visited_clicks","integer","YES"
"bot_users","country","text","YES"
"bot_users","city","text","YES"
"bot_users","device_type","text","YES"
"bot_users","search_date_timestamp","timestamp without time zone","YES"
"bot_users","manual_favorites","ARRAY","YES"
"bot_users","copied_coupons_history","ARRAY","YES"
"bot_users","interests","ARRAY","YES"
"bot_users","marketing_segment","text","YES"
"bot_users","spy_behavior_logs","jsonb","YES"
"bot_users","spy_behavior","jsonb","YES"
"bot_users","loyalty_rank","text","YES"
"bot_users","lang","text","YES"
"bot_users","name_en","text","YES"
"broadcast_logs","id","integer","NO"
"broadcast_logs","message_text","text","YES"
"broadcast_logs","image_url","text","YES"
"broadcast_logs","target_audience","text","YES"
"broadcast_logs","sent_by","text","YES"
"broadcast_logs","sent_at","timestamp without time zone","YES"
"broadcast_logs","delivery_count","integer","YES"
"categories_tags","id","integer","NO"
"categories_tags","tag_name","character varying","NO"
"categories_tags","priority_score","integer","YES"
"categories_tags","visit_count","integer","YES"
"categories_tags","total_interactions","integer","YES"
"categories_tags","is_trending","character varying","YES"
"categories_tags","click_count","integer","YES"
"categories_tags","Tag_clicks","integer","YES"
"channel_ads_queue","ad_id","integer","NO"
"channel_ads_queue","ad_title","text","NO"
"channel_ads_queue","ad_link","text","NO"
"channel_ads_queue","ad_category","text","YES"
"channel_ads_queue","ad_coupon","text","YES"
"channel_ads_queue","ad_note","text","YES"
"channel_ads_queue","scheduled_time","timestamp without time zone","YES"
"channel_ads_queue","status","text","YES"
"channel_ads_queue","created_at","timestamp without time zone","YES"
"channel_ads_queue","target_channel","text","YES"
"competitor_watch","id","integer","NO"
"competitor_watch","store_name","text","YES"
"competitor_watch","last_code","text","YES"
"competitor_watch","status","text","YES"
"competitor_watch","discount_rate","integer","YES"
"content_studio_logs","id","integer","NO"
"content_studio_logs","product_name","text","YES"
"content_studio_logs","platform","text","YES"
"content_studio_logs","ad_text","text","YES"
"content_studio_logs","created_at","timestamp without time zone","YES"
"content_studio_logs","bg_color","text","YES"
"content_studio_logs","text_color","text","YES"
"coupons_view","id","integer","YES"
"coupons_view","store_id","text","YES"
"coupons_view","affiliate_link","text","YES"
"coupons_view","public_coupon","text","YES"
"coupons_view","extra_offer","text","YES"
"coupons_view","store_bio","text","YES"
"coupons_view","priority_score","text","YES"
"coupons_view","discount_value","text","YES"
"coupons_view","store_tags","text","YES"
"coupons_view","my_coupon","text","YES"
"coupons_view","first_time","date","YES"
"coupons_view","last_time","date","YES"
"coupons_view","total_link_clicks","integer","YES"
"coupons_view","total_coupon_copies","integer","YES"
"coupons_view","total_search_hits","integer","YES"
"coupons_view","performance_status","text","YES"
"coupons_view","visit_categorie","integer","YES"
"coupons_view","target_category","text","YES"
"coupons_view","total_clicks","integer","YES"
"direct_search","id","integer","NO"
"direct_search","search_keyword","text","YES"
"direct_search","store_id","text","YES"
"direct_search","search_date","timestamp without time zone","YES"
"direct_search","user_found","boolean","YES"
"direct_search","platform","text","YES"
"direct_search","name_en","text","YES"
"flash_offers_queue","offer_id","integer","NO"
"flash_offers_queue","offer_title","text","NO"
"flash_offers_queue","reward_points","integer","YES"
"flash_offers_queue","duration_minutes","integer","YES"
"flash_offers_queue","target_coupon","text","YES"
"flash_offers_queue","status","text","YES"
"flash_offers_queue","created_at","timestamp without time zone","YES"
"franchise_agents","agent_id","integer","NO"
"franchise_agents","agent_name","text","NO"
"franchise_agents","region","text","YES"
"franchise_agents","profit_share","double precision","YES"
"franchise_agents","join_date","date","YES"
"invoice_verifications","invoice_id","integer","NO"
"invoice_verifications","user_handle","text","YES"
"invoice_verifications","status","text","YES"
"loyalty_history","id","integer","NO"
"loyalty_history","user_id","bigint","YES"
"loyalty_history","action_type","text","YES"
"loyalty_history","points_earned","integer","YES"
"loyalty_history","log_date","timestamp without time zone","YES"
"loyalty_settings","setting_key","text","NO"
"loyalty_settings","setting_value","integer","YES"
"master","id","integer","NO"
"master","store_id","text","YES"
"master","affiliate_link","text","YES"
"master","public_coupon","text","YES"
"master","extra_offer","text","YES"
"master","store_bio","text","YES"
"master","priority_score","text","YES"
"master","discount_value","text","YES"
"master","store_tags","text","YES"
"master","my_coupon","text","YES"
"master","first_time","date","YES"
"master","last_time","date","YES"
"master","total_link_clicks","integer","YES"
"master","total_coupon_copies","integer","YES"
"master","total_search_hits","integer","YES"
"master","performance_status","text","YES"
