"اسم الجدول","اسم العمود","نوع البيانات","يقبل قيمة فارغة؟","القيمة الافتراضية","نوع المفتاح/القيود","مرتبط بجدول","مرتبط بعمود"
"action_logs","id","integer","NO","nextval('action_logs_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"action_logs","store_id","text","YES",NULL,"",NULL,NULL
"action_logs","action_type","text","YES",NULL,"",NULL,NULL
"action_logs","details","text","YES",NULL,"",NULL,NULL
"action_logs","action_time","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"action_logs","user_id","bigint","YES",NULL,"",NULL,NULL
"action_logs","source","text","YES","'bot'::text","",NULL,NULL
"api_partners","partner_id","integer","NO","nextval('api_partners_partner_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"api_partners","partner_name","text","NO",NULL,"",NULL,NULL
"api_partners","api_endpoint","text","YES",NULL,"",NULL,NULL
"api_partners","usage_limit","integer","YES",NULL,"",NULL,NULL
"api_partners","status","text","YES","'نشط'::text","",NULL,NULL
"api_partners","api_key","text","YES",NULL,"",NULL,NULL
"api_partners","api_secret","text","YES",NULL,"",NULL,NULL
"api_partners","extra_headers","jsonb","YES",NULL,"",NULL,NULL
"app_monitor","log_id","integer","NO","nextval('app_monitor_log_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"app_monitor","log_type","text","YES",NULL,"",NULL,NULL
"app_monitor","action_details","text","YES",NULL,"",NULL,NULL
"app_monitor","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"auto_rules","rule_id","integer","NO","nextval('auto_rules_rule_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"auto_rules","rule_name","text","YES",NULL,"",NULL,NULL
"auto_rules","is_active","boolean","YES","false","",NULL,NULL
"auto_rules","settings","jsonb","YES",NULL,"",NULL,NULL
"auto_rules","last_run","timestamp without time zone","YES",NULL,"",NULL,NULL
"available_channels","channel_id","integer","NO","nextval('available_channels_channel_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"available_channels","channel_name","text","NO",NULL,"",NULL,NULL
"available_channels","telegram_id","text","NO",NULL,"",NULL,NULL
"available_channels","is_active","boolean","YES","true","",NULL,NULL
